Input.OBJECT_NAME,Input.QUESTION_1,Input.QUESTION_2,Input.QUESTION_3,Input.QUESTION_4,Input.QUESTION_5,Input.QUESTION_6,Input.QUESTION_7,Input.QUESTION_8,Input.QUESTION_9,Input.QUESTION_10,Input.QUESTION_11,Input.QUESTION_12,Input.QUESTION_13,Input.QUESTION_14
laptop,What color(s) are a typical laptop?,What shape is a typical laptop?,Where is a laptop usually found?,What is the typical texture of a laptop?,What material is a laptop usually made of?,What pattern (if any) is common on a laptop?,In what scenarios is a laptop typically used?,In what contexts do laptop appear?,What is the typical function of a laptop?,What is the typical disposition of a laptop?,What is the typical length of a laptop (in cm)?,What is the typical width of a laptop (in cm)?,What is the typical height of a laptop (in cm)?,What is the typical weight of a laptop (in kg)?
mouse,What color(s) are a typical mouse?,What shape is a typical mouse?,Where is a mouse usually found?,What is the typical texture of a mouse?,What material is a mouse usually made of?,What pattern (if any) is common on a mouse?,In what scenarios is a mouse typically used?,In what contexts do mouse appear?,What is the typical function of a mouse?,What is the typical disposition of a mouse?,What is the typical length of a mouse (in cm)?,What is the typical width of a mouse (in cm)?,What is the typical height of a mouse (in cm)?,What is the typical weight of a mouse (in kg)?
remote,What color(s) are a typical remote?,What shape is a typical remote?,Where is a remote usually found?,What is the typical texture of a remote?,What material is a remote usually made of?,What pattern (if any) is common on a remote?,In what scenarios is a remote typically used?,In what contexts do remote appear?,What is the typical function of a remote?,What is the typical disposition of a remote?,What is the typical length of a remote (in cm)?,What is the typical width of a remote (in cm)?,What is the typical height of a remote (in cm)?,What is the typical weight of a remote (in kg)?
keyboard,What color(s) are a typical keyboard?,What shape is a typical keyboard?,Where is a keyboard usually found?,What is the typical texture of a keyboard?,What material is a keyboard usually made of?,What pattern (if any) is common on a keyboard?,In what scenarios is a keyboard typically used?,In what contexts do keyboard appear?,What is the typical function of a keyboard?,What is the typical disposition of a keyboard?,What is the typical length of a keyboard (in cm)?,What is the typical width of a keyboard (in cm)?,What is the typical height of a keyboard (in cm)?,What is the typical weight of a keyboard (in kg)?
cell phone,What color(s) are a typical cell phone?,What shape is a typical cell phone?,Where is a cell phone usually found?,What is the typical texture of a cell phone?,What material is a cell phone usually made of?,What pattern (if any) is common on a cell phone?,In what scenarios is a cell phone typically used?,In what contexts do cell phone appear?,What is the typical function of a cell phone?,What is the typical disposition of a cell phone?,What is the typical length of a cell phone (in cm)?,What is the typical width of a cell phone (in cm)?,What is the typical height of a cell phone (in cm)?,What is the typical weight of a cell phone (in kg)?
microwave,What color(s) are a typical microwave?,What shape is a typical microwave?,Where is a microwave usually found?,What is the typical texture of a microwave?,What material is a microwave usually made of?,What pattern (if any) is common on a microwave?,In what scenarios is a microwave typically used?,In what contexts do microwave appear?,What is the typical function of a microwave?,What is the typical disposition of a microwave?,What is the typical length of a microwave (in cm)?,What is the typical width of a microwave (in cm)?,What is the typical height of a microwave (in cm)?,What is the typical weight of a microwave (in kg)?
oven,What color(s) are a typical oven?,What shape is a typical oven?,Where is a oven usually found?,What is the typical texture of a oven?,What material is a oven usually made of?,What pattern (if any) is common on a oven?,In what scenarios is a oven typically used?,In what contexts do oven appear?,What is the typical function of a oven?,What is the typical disposition of a oven?,What is the typical length of a oven (in cm)?,What is the typical width of a oven (in cm)?,What is the typical height of a oven (in cm)?,What is the typical weight of a oven (in kg)?
toaster,What color(s) are a typical toaster?,What shape is a typical toaster?,Where is a toaster usually found?,What is the typical texture of a toaster?,What material is a toaster usually made of?,What pattern (if any) is common on a toaster?,In what scenarios is a toaster typically used?,In what contexts do toaster appear?,What is the typical function of a toaster?,What is the typical disposition of a toaster?,What is the typical length of a toaster (in cm)?,What is the typical width of a toaster (in cm)?,What is the typical height of a toaster (in cm)?,What is the typical weight of a toaster (in kg)?
sink,What color(s) are a typical sink?,What shape is a typical sink?,Where is a sink usually found?,What is the typical texture of a sink?,What material is a sink usually made of?,What pattern (if any) is common on a sink?,In what scenarios is a sink typically used?,In what contexts do sink appear?,What is the typical function of a sink?,What is the typical disposition of a sink?,What is the typical length of a sink (in cm)?,What is the typical width of a sink (in cm)?,What is the typical height of a sink (in cm)?,What is the typical weight of a sink (in kg)?
refrigerator,What color(s) are a typical refrigerator?,What shape is a typical refrigerator?,Where is a refrigerator usually found?,What is the typical texture of a refrigerator?,What material is a refrigerator usually made of?,What pattern (if any) is common on a refrigerator?,In what scenarios is a refrigerator typically used?,In what contexts do refrigerator appear?,What is the typical function of a refrigerator?,What is the typical disposition of a refrigerator?,What is the typical length of a refrigerator (in cm)?,What is the typical width of a refrigerator (in cm)?,What is the typical height of a refrigerator (in cm)?,What is the typical weight of a refrigerator (in kg)?
book,What color(s) are a typical book?,What shape is a typical book?,Where is a book usually found?,What is the typical texture of a book?,What material is a book usually made of?,What pattern (if any) is common on a book?,In what scenarios is a book typically used?,In what contexts do book appear?,What is the typical function of a book?,What is the typical disposition of a book?,What is the typical length of a book (in cm)?,What is the typical width of a book (in cm)?,What is the typical height of a book (in cm)?,What is the typical weight of a book (in kg)?
clock,What color(s) are a typical clock?,What shape is a typical clock?,Where is a clock usually found?,What is the typical texture of a clock?,What material is a clock usually made of?,What pattern (if any) is common on a clock?,In what scenarios is a clock typically used?,In what contexts do clock appear?,What is the typical function of a clock?,What is the typical disposition of a clock?,What is the typical length of a clock (in cm)?,What is the typical width of a clock (in cm)?,What is the typical height of a clock (in cm)?,What is the typical weight of a clock (in kg)?
vase,What color(s) are a typical vase?,What shape is a typical vase?,Where is a vase usually found?,What is the typical texture of a vase?,What material is a vase usually made of?,What pattern (if any) is common on a vase?,In what scenarios is a vase typically used?,In what contexts do vase appear?,What is the typical function of a vase?,What is the typical disposition of a vase?,What is the typical length of a vase (in cm)?,What is the typical width of a vase (in cm)?,What is the typical height of a vase (in cm)?,What is the typical weight of a vase (in kg)?
scissors,What color(s) are a typical scissors?,What shape is a typical scissors?,Where is a scissors usually found?,What is the typical texture of a scissors?,What material is a scissors usually made of?,What pattern (if any) is common on a scissors?,In what scenarios is a scissors typically used?,In what contexts do scissors appear?,What is the typical function of a scissors?,What is the typical disposition of a scissors?,What is the typical length of a scissors (in cm)?,What is the typical width of a scissors (in cm)?,What is the typical height of a scissors (in cm)?,What is the typical weight of a scissors (in kg)?
teddy bear,What color(s) are a typical teddy bear?,What shape is a typical teddy bear?,Where is a teddy bear usually found?,What is the typical texture of a teddy bear?,What material is a teddy bear usually made of?,What pattern (if any) is common on a teddy bear?,In what scenarios is a teddy bear typically used?,In what contexts do teddy bear appear?,What is the typical function of a teddy bear?,What is the typical disposition of a teddy bear?,What is the typical length of a teddy bear (in cm)?,What is the typical width of a teddy bear (in cm)?,What is the typical height of a teddy bear (in cm)?,What is the typical weight of a teddy bear (in kg)?
hair drier,What color(s) are a typical hair drier?,What shape is a typical hair drier?,Where is a hair drier usually found?,What is the typical texture of a hair drier?,What material is a hair drier usually made of?,What pattern (if any) is common on a hair drier?,In what scenarios is a hair drier typically used?,In what contexts do hair drier appear?,What is the typical function of a hair drier?,What is the typical disposition of a hair drier?,What is the typical length of a hair drier (in cm)?,What is the typical width of a hair drier (in cm)?,What is the typical height of a hair drier (in cm)?,What is the typical weight of a hair drier (in kg)?
toothbrush,What color(s) are a typical toothbrush?,What shape is a typical toothbrush?,Where is a toothbrush usually found?,What is the typical texture of a toothbrush?,What material is a toothbrush usually made of?,What pattern (if any) is common on a toothbrush?,In what scenarios is a toothbrush typically used?,In what contexts do toothbrush appear?,What is the typical function of a toothbrush?,What is the typical disposition of a toothbrush?,What is the typical length of a toothbrush (in cm)?,What is the typical width of a toothbrush (in cm)?,What is the typical height of a toothbrush (in cm)?,What is the typical weight of a toothbrush (in kg)?
